semestre_plan	codigo	nombre_plan	sede	grupo	tipo	modalidad	periodo	creditos_guia	horas_guia	profesor	horario_original	archivo_fuente
1	QU1106	química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	16	Regular	SEMESTRE	1	3	4	VARGAS CAMARENO MARICRUZ	MIE[07:30-09:20] VIE[07:30-09:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1106	química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	19	Regular	SEMESTRE	1	3	4	VARGAS CAMARENO MARICRUZ	MIE[09:30-11:20] VIE[09:30-11:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1106	química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	21	Regular	SEMESTRE	1	3	4	VILLALTA ROMERO FABIAN	MIE[13:00-14:50] VIE[13:00-14:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	31	Regular	SEMESTRE	1	1	2	CABALLERO CHAVARRIA ANDREY	JUE[07:30-09:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	36	Regular	SEMESTRE	1	1	2	CABALLERO CHAVARRIA ANDREY	JUE[09:30-11:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	1	Regular	SEMESTRE	1	1	2	CALLEJA AMADOR CARLOS ENRIQUE	MAR[07:30-09:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	77	Regular	SEMESTRE	1	1	2	CALLEJA AMADOR CARLOS ENRIQUE	VIE[15:00-16:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	19	Regular	SEMESTRE	1	1	2	GONZALEZ RODRIGUEZ JOSE RICARDO	MIE[09:30-11:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	11	Regular	SEMESTRE	1	1	2	HERNANDEZ ALPIZAR LAURA	MAR[15:00-16:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	13	Regular	SEMESTRE	1	1	2	HERNANDEZ ALPIZAR LAURA	MAR[17:00-18:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	40	Regular	SEMESTRE	1	1	2	HERNANDEZ ALPIZAR LAURA	JUE[15:00-16:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	43	Regular	SEMESTRE	1	1	2	HERNANDEZ ALPIZAR LAURA	JUE[17:00-18:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	20	Regular	SEMESTRE	1	1	2	MASIS MELENDEZ FEDERICO	MIE[09:30-11:20]	Guia de Horario de la Escuela QU.mhtml
