carrera	semestre	codigo	nombre	creditos	requisitos	correquisitos	grupo	dia	inicio	fin
Computadores	1	MA1403	matemática discreta	4	-	-	5	MAR	18:00	19:50
Computadores	1	MA1403	matemática discreta	4	-	-	5	JUE	18:00	19:50
Computadores	1	MA1403	matemática discreta	4	-	-	3	MAR	13:00	14:50
Computadores	1	MA1403	matemática discreta	4	-	-	3	JUE	13:00	14:50
Computadores	1	MA1403	matemática discreta	4	-	-	1	MAR	07:30	09:20
Computadores	1	MA1403	matemática discreta	4	-	-	1	JUE	07:30	09:20
Computadores	1	MA1403	matemática discreta	4	-	-	2	MAR	09:30	11:20
Computadores	1	MA1403	matemática discreta	4	-	-	2	JUE	09:30	11:20
Computadores	1	QU1106	química básica i	3	-	QU1102	7	MAR	13:00	14:50
Computadores	1	QU1106	química básica i	3	-	QU1102	7	JUE	13:00	14:50
Computadores	1	QU1106	química básica i	3	-	QU1102	10	MAR	15:00	16:50
Computadores	1	QU1106	química básica i	3	-	QU1102	10	JUE	15:00	16:50
Computadores	1	QU1106	química básica i	3	-	QU1102	13	MAR	17:00	18:50
Computadores	1	QU1106	química básica i	3	-	QU1102	13	JUE	17:00	18:50
Computadores	1	QU1106	química básica i	3	-	QU1102	2	MAR	07:30	09:20
Computadores	1	QU1106	química básica i	3	-	QU1102	2	JUE	07:30	09:20
Computadores	1	QU1106	química básica i	3	-	QU1102	14	MIE	07:30	09:20
Computadores	1	QU1106	química básica i	3	-	QU1102	14	VIE	07:30	09:20
Computadores	1	QU1106	química básica i	3	-	QU1102	17	MIE	09:30	11:20
Computadores	1	QU1106	química básica i	3	-	QU1102	17	VIE	09:30	11:20
Computadores	1	QU1106	química básica i	3	-	QU1102	8	MAR	13:00	14:50
Computadores	1	QU1106	química básica i	3	-	QU1102	8	JUE	13:00	14:50
Computadores	1	QU1106	química básica i	3	-	QU1102	11	MAR	15:00	16:50
Computadores	1	QU1106	química básica i	3	-	QU1102	11	JUE	15:00	16:50
Computadores	1	QU1106	química básica i	3	-	QU1102	6	MAR	09:30	11:20
Computadores	1	QU1106	química básica i	3	-	QU1102	6	JUE	09:30	11:20
Computadores	1	QU1106	química básica i	3	-	QU1102	9	MAR	13:00	14:50
Computadores	1	QU1106	química básica i	3	-	QU1102	9	JUE	13:00	14:50
Computadores	1	QU1106	química básica i	3	-	QU1102	12	MAR	15:00	16:50
Computadores	1	QU1106	química básica i	3	-	QU1102	12	JUE	15:00	16:50
Computadores	1	QU1106	química básica i	3	-	QU1102	20	MIE	13:00	14:50
Computadores	1	QU1106	química básica i	3	-	QU1102	20	VIE	13:00	14:50
Computadores	1	QU1106	química básica i	3	-	QU1102	22	MIE	15:00	16:50
Computadores	1	QU1106	química básica i	3	-	QU1102	22	VIE	15:00	16:50
Computadores	1	QU1106	química básica i	3	-	QU1102	4	MAR	09:30	11:20
Computadores	1	QU1106	química básica i	3	-	QU1102	4	JUE	09:30	11:20
Computadores	1	QU1106	química básica i	3	-	QU1102	18	MIE	09:30	11:20
Computadores	1	QU1106	química básica i	3	-	QU1102	18	VIE	09:30	11:20
Computadores	1	QU1106	química básica i	3	-	QU1102	23	MIE	15:00	16:50
Computadores	1	QU1106	química básica i	3	-	QU1102	23	VIE	15:00	16:50
Computadores	1	QU1106	química básica i	3	-	QU1102	1	MAR	07:30	09:20
Computadores	1	QU1106	química básica i	3	-	QU1102	1	JUE	07:30	09:20
Computadores	1	QU1106	química básica i	3	-	QU1102	5	MAR	09:30	11:20
Computadores	1	QU1106	química básica i	3	-	QU1102	5	JUE	09:30	11:20
